"names","Formula","aicc","k","logL","delta.aic"
"model1374","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + privNumb + maoriNumb","735.537685659455","12","-354.662459851004","0"
"model2103","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + privNumb + maoriNumb","736.373574556484","14","-352.675995911336","0.835888897029122"
"model1932","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + privNumb + maoriNumb","736.477249050124","13","-353.938624525062","0.939563390669036"
"model786","Surv(Erad_Time, Event) ~ area + SS + Buffer + privNumb + maoriNumb","737.294269990575","11","-356.717557530499","1.75658433112017"
"model849","Surv(Erad_Time, Event) ~ area + Buffer + landing + privNumb + maoriNumb","737.303486991128","11","-356.722166030775","1.76580133167283"
"model1375","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + privNumb + maoriNumb + area:privNumb","737.369123440046","15","-351.94543128524","1.8314377805907"
"model1940","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + private + privNumb + maoriNumb","737.40931936179","13","-354.404659680895","1.87163370233532"
"model1652","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + privNumb + maoriNumb","737.463428569372","13","-354.431714284686","1.92574290991706"
"model845","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + maoriNumb","737.672866473907","9","-359.211433236953","2.13518081445193"
"model1486","Surv(Erad_Time, Event) ~ area + Buffer + landing + private + privNumb + maoriNumb","737.758268245065","12","-355.772751143809","2.2205825856098"
"model2104","Surv(Erad_Time, Event) ~ dist + area + SS + Buffer + landing + public + privNumb + maoriNumb + area:privNumb","737.87212427414","17","-349.68606213707","2.33443861468527"
"model374","Surv(Erad_Time, Event) ~ area + Buffer + private + maoriNumb","738.00142354708","8","-360.504160049402","2.46373788762537"
"model1933","Surv(Erad_Time, Event) ~ area + SS + Buffer + landing + public + privNumb + maoriNumb + area:privNumb","738.025062344382","16","-351.027129712337","2.48737668492731"
"model1478","Surv(Erad_Time, Event) ~ area + Buffer + landing + public + privNumb + maoriNumb","738.242886234425","12","-356.015060138489","2.70520057497015"
